iter	Passed	Remaining
0	58	58565
1	59	29456
2	59	19743
3	59	14886
4	60	11967
5	60	10022
6	60	8631
7	61	7590
8	61	6780
9	61	6131
10	62	5603
11	62	5166
12	63	4792
13	63	4471
14	63	4195
15	64	3952
16	64	3737
17	65	3547
18	65	3375
19	65	3222
20	66	3081
21	66	2954
22	66	2839
23	67	2732
24	67	2634
25	67	2544
26	68	2461
27	68	2387
28	69	2315
29	69	2250
30	69	2186
31	70	2127
32	70	2072
33	71	2020
34	71	1970
35	71	1923
36	72	1878
37	72	1836
38	72	1797
39	73	1761
40	73	1724
41	74	1690
42	74	1657
43	74	1627
44	75	1596
45	75	1568
46	76	1542
47	76	1516
48	76	1490
49	77	1466
50	77	1443
51	77	1421
52	78	1400
53	78	1379
54	79	1358
55	79	1339
56	79	1320
57	80	1303
58	80	1286
59	81	1269
60	81	1253
61	81	1238
62	82	1223
63	82	1208
64	83	1194
65	83	1181
66	83	1169
67	84	1153
68	84	1141
69	85	1129
70	85	1117
71	85	1105
72	86	1094
73	86	1082
74	86	1071
75	87	1060
76	87	1049
77	88	1040
78	88	1030
79	88	1020
80	89	1012
81	89	1003
82	90	994
83	90	985
84	90	975
85	90	966
86	91	956
87	91	948
88	91	940
89	92	933
90	92	925
91	93	917
92	93	910
93	93	903
94	94	896
95	94	888
96	94	883
97	95	876
98	95	869
99	95	863
100	96	858
101	96	849
102	96	843
103	97	838
104	97	832
105	98	827
106	98	821
107	98	815
108	99	810
109	99	805
110	99	800
111	100	795
112	100	789
113	100	784
114	101	779
115	101	773
116	101	769
117	102	764
118	102	759
119	102	755
120	103	750
121	103	746
122	103	740
123	104	735
124	104	731
125	104	727
126	105	723
127	105	718
128	105	714
129	106	710
130	106	706
131	106	702
132	107	698
133	107	695
134	107	691
135	108	687
136	108	683
137	108	679
138	109	675
139	109	672
140	109	669
141	110	666
142	110	662
143	110	659
144	111	656
145	111	653
146	112	650
147	112	647
148	112	644
149	113	641
150	113	638
151	113	635
152	114	632
153	114	629
154	114	626
155	115	623
156	115	620
157	115	617
158	116	615
159	116	612
160	116	609
161	117	606
162	117	604
163	118	602
164	118	599
165	118	597
166	119	594
167	119	592
168	119	589
169	120	587
170	120	584
171	120	582
172	121	580
173	121	577
174	122	575
175	122	573
176	122	570
177	123	568
178	123	566
179	123	563
180	123	560
181	124	558
182	124	556
183	125	554
184	125	552
185	125	550
186	126	547
187	126	546
188	126	544
189	127	542
190	127	540
191	127	538
192	128	536
193	128	534
194	129	532
195	129	530
196	129	528
197	130	527
198	130	525
199	130	523
200	131	521
201	131	519
202	131	517
203	132	515
204	132	514
205	132	512
206	133	510
207	133	508
208	133	507
209	134	505
210	134	503
211	135	502
212	135	500
213	135	499
214	136	497
215	136	495
216	136	494
217	137	492
218	137	491
219	138	489
220	138	487
221	138	486
222	139	484
223	139	483
224	139	481
225	140	480
226	140	478
227	140	477
228	141	475
229	141	474
230	142	472
231	142	471
232	142	470
233	143	468
234	143	467
235	144	466
236	144	464
237	144	463
238	145	461
239	145	460
240	145	458
241	146	457
242	146	456
243	146	455
244	147	453
245	147	452
246	148	451
247	148	449
248	148	448
249	149	447
250	149	445
251	149	444
252	150	443
253	150	441
254	150	440
255	151	439
256	151	438
257	151	436
258	152	435
259	152	434
260	152	433
261	153	431
262	153	430
263	153	429
264	154	427
265	154	426
266	154	425
267	155	424
268	155	423
269	156	421
270	156	420
271	156	419
272	157	418
273	157	417
274	157	415
275	158	414
276	158	413
277	158	412
278	159	411
279	159	410
280	159	409
281	160	407
282	160	406
283	161	405
284	161	404
285	161	403
286	162	402
287	162	401
288	162	400
289	163	399
290	163	398
291	164	397
292	164	396
293	164	395
294	165	394
295	165	393
296	165	392
297	166	391
298	166	390
299	166	389
300	167	388
301	167	387
302	168	386
303	168	385
304	168	384
305	169	383
306	169	382
307	169	381
308	170	380
309	170	379
310	170	378
311	171	377
312	171	376
313	172	375
314	172	374
315	172	374
316	173	373
317	173	372
318	173	371
319	174	370
320	174	369
321	175	368
322	175	367
323	175	366
324	176	365
325	176	364
326	176	363
327	177	362
328	177	361
329	177	361
330	178	360
331	178	359
332	178	358
333	179	357
334	179	356
335	179	355
336	180	354
337	180	353
338	181	352
339	181	352
340	181	351
341	182	350
342	182	349
343	182	348
344	183	347
345	183	346
346	183	345
347	184	345
348	184	344
349	184	343
350	185	342
351	185	341
352	185	340
353	186	339
354	186	339
355	187	338
356	187	337
357	187	336
358	188	336
359	188	335
360	188	334
361	189	333
362	189	332
363	190	332
364	190	331
365	190	330
366	191	329
367	191	328
368	191	328
369	192	327
370	192	326
371	192	325
372	193	325
373	193	324
374	194	323
375	194	322
376	194	321
377	195	321
378	195	320
379	195	319
380	196	318
381	196	317
382	196	317
383	197	316
384	197	315
385	197	314
386	198	313
387	198	313
388	198	312
389	199	311
390	199	310
391	199	310
392	200	309
393	200	308
394	200	307
395	201	307
396	201	306
397	202	305
398	202	305
399	202	304
400	203	303
401	203	302
402	203	302
403	204	301
404	204	300
405	205	300
406	205	299
407	205	298
408	206	298
409	206	297
410	206	296
411	207	295
412	207	295
413	207	294
414	208	293
415	208	292
416	209	292
417	209	291
418	209	290
419	210	290
420	210	289
421	210	288
422	211	287
423	211	287
424	211	286
425	212	285
426	212	285
427	212	284
428	213	283
429	213	283
430	213	282
431	214	281
432	214	281
433	215	280
434	215	279
435	215	279
436	216	278
437	216	277
438	216	277
439	217	276
440	217	275
441	218	275
442	218	274
443	218	273
444	219	273
445	219	272
446	219	272
447	220	271
448	220	270
449	220	269
450	221	269
451	221	268
452	222	268
453	222	267
454	222	266
455	223	266
456	223	265
457	223	264
458	224	264
459	224	263
460	224	262
461	225	262
462	225	261
463	225	260
464	226	260
465	226	259
466	226	258
467	227	258
468	227	257
469	227	257
470	228	256
471	228	255
472	229	255
473	229	254
474	229	253
475	230	253
476	230	252
477	230	252
478	231	251
479	231	250
480	231	250
481	232	249
482	232	249
483	233	248
484	233	247
485	233	247
486	234	246
487	234	246
488	234	245
489	235	244
