iter	Passed	Remaining
0	61	61028
1	61	30681
2	61	20588
3	62	15522
4	62	12475
5	63	10459
6	63	9038
7	64	7952
8	64	7107
9	64	6432
10	65	5891
11	65	5427
12	66	5033
13	66	4694
14	67	4406
15	67	4148
16	67	3921
17	68	3718
18	68	3537
19	68	3374
20	69	3226
21	69	3092
22	69	2970
23	70	2862
24	70	2762
25	71	2670
26	71	2583
27	72	2503
28	72	2428
29	72	2358
30	73	2295
31	73	2234
32	74	2179
33	74	2126
34	75	2076
35	75	2027
36	76	1982
37	76	1940
38	77	1900
39	77	1862
40	78	1824
41	78	1789
42	78	1757
43	79	1726
44	79	1696
45	80	1668
46	80	1640
47	81	1614
48	81	1587
49	82	1563
50	82	1538
51	83	1514
52	83	1491
53	83	1468
54	84	1447
55	84	1425
56	84	1405
57	85	1386
58	85	1368
59	86	1350
60	86	1333
61	87	1318
62	87	1301
63	87	1286
64	88	1272
65	88	1257
66	89	1243
67	89	1229
68	90	1215
69	90	1201
70	90	1189
71	91	1176
72	91	1165
73	92	1155
74	92	1143
75	93	1132
76	93	1121
77	94	1111
78	94	1101
79	94	1092
80	95	1083
81	95	1073
82	96	1061
83	96	1052
84	96	1043
85	97	1034
86	97	1026
87	98	1018
88	98	1010
89	99	1002
90	99	994
91	100	987
92	100	978
93	100	971
94	101	964
95	101	957
96	102	950
97	102	943
98	102	936
99	103	929
100	103	923
101	104	916
102	104	910
103	104	904
104	105	898
105	106	895
106	106	889
107	106	883
108	107	878
109	107	872
110	108	867
111	108	861
112	109	855
113	109	850
114	109	845
115	110	840
116	110	834
117	111	830
118	111	825
119	111	821
120	112	817
121	112	811
122	113	808
123	113	803
124	114	799
125	114	794
126	114	789
127	115	786
128	115	781
129	116	778
130	116	774
131	117	769
132	117	765
133	117	762
134	118	758
135	118	754
136	119	751
137	119	748
138	120	745
139	120	741
140	121	738
141	121	733
142	121	730
143	122	726
144	122	723
145	123	720
146	123	717
147	124	714
148	124	710
149	124	707
150	125	704
151	125	701
152	126	698
153	126	695
154	127	692
155	127	689
156	127	687
157	128	684
158	128	681
159	129	678
160	129	675
161	129	672
162	130	669
163	130	666
164	131	663
165	131	660
166	131	658
167	132	655
168	132	652
169	133	650
170	133	647
171	134	645
172	134	642
173	135	640
174	135	638
175	136	637
176	136	634
177	136	632
178	137	629
179	137	627
180	138	624
181	138	623
182	139	621
183	139	619
184	140	617
185	140	615
186	141	613
187	141	611
188	142	609
189	142	607
190	142	605
191	143	602
192	143	600
193	143	598
194	144	595
195	144	593
196	145	591
197	145	589
198	145	587
199	146	584
200	146	583
201	147	581
202	147	579
203	148	577
204	148	575
205	148	573
206	149	571
207	149	570
208	150	568
209	150	567
210	151	565
211	152	565
212	152	564
213	153	563
214	153	561
215	154	560
216	155	559
217	155	558
218	156	557
219	156	556
220	157	554
221	157	553
222	158	552
223	158	550
224	159	549
225	159	547
226	160	546
227	160	545
228	161	543
229	161	541
230	162	540
231	162	539
232	163	538
233	164	536
234	164	535
235	165	534
236	165	532
237	166	532
238	166	530
239	166	528
240	167	527
241	167	525
242	168	523
243	168	522
244	169	521
245	169	520
246	170	518
247	170	517
248	171	516
249	171	514
250	171	513
251	172	512
252	172	510
253	173	508
254	173	507
255	174	505
256	174	504
257	174	502
258	175	501
259	175	499
260	176	499
261	176	497
262	177	496
263	177	495
264	178	493
265	178	492
266	178	490
267	179	489
268	179	488
269	180	486
270	180	485
271	180	484
272	181	483
273	181	481
274	182	480
275	182	478
276	182	477
277	183	476
278	183	474
279	184	473
280	184	472
281	185	471
282	185	469
283	186	469
284	186	467
285	187	467
286	187	466
287	188	464
